Do you need manual annotations for your NLP projects? ,What NLP tasks do you need annotation for? ,Have you used open source annotation platforms before? ,Which of these tools have you used before?,"If you've used open source annotation tool(s) before, which annotation tool(s) do you like best? List 1-3.",Which feature(s) do you find most useful from your previous experience with open source annotation platforms? List 1-3.,Any other feedback on Open Source NLP/CV annotation tools?,Have you used commercial annotation platforms before?,Which of these tools/platforms have you heard of before ?,Which of the commercial tools listed above have you used before?,"If you've used any of the above platforms/tool(s) before, which tool(s) do you like best? List 1-3.",Which feature(s) do you find most useful from your previous experience with commercial platforms? List 1-3.,Tell us what's your dream annotation platform!!,Are you student? Do you work in academia / industry? Or are you an independent/freelancer?,Why do you need annotations for your task/data? ,Would the annotations you need require domain expertise or can it be handled by crowdsource workers with some minimum requirements?,Do you have a pool of trusted/expert annotators that can work on your annotation task(s)? ,Do you have any feedback on NLP annotation platforms?
Yes,"Classification tasks, Span annotation, Evaluating Generation (Seq2Seq) tasks, Creating Translation/Generation data, Entity linking tasks, Parsing annotations / Treebanking tasks",Yes,WebAnno (https://webanno.github.io/webanno/),,,,No,MTurk (https://www.mturk.com/),,,,"all in one
",Student,"Existing open datasets don't fit my needs, Exploring new facet of the data/task",Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Regression/Scoring tasks, Parsing annotations / Treebanking tasks",Yes,"Brat (https://brat.nlplab.org/), WebAnno (https://webanno.github.io/webanno/), Annotatrix, TrEd",TrEd,"dependency tree visualization, customization (keyboard shortcuts, shown attributes)",,No,MTurk (https://www.mturk.com/),,,,"Full Unicode support, customizable keyboard shortcuts for fast annotation, can be installed on server and support remote collaboration, but also allows working completely offline (such as annotating while in a plane).",Academia,Existing open datasets don't fit my needs,Domain expertise / Trained annotators required,No,
Yes,"Classification tasks, Span annotation",Yes,"Brat (https://brat.nlplab.org/), WebAnno (https://webanno.github.io/webanno/), SWAN (https://github.com/annefried/swan/wiki)","WebAnno, SWAN",linking annotations (e.g. for coreference annotations),,Yes,"MTurk (https://www.mturk.com/), Fiverr.com, Prolific Academic",,MTurk,,"Easy to use, HTMl based, comes with a good range of pre-defined templates and functionalities. Takes over all the server hosting etc. and leaves the researcher with the task of designing experiments.",Industrial research,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Span annotation, Entity linking tasks",Yes,"Brat (https://brat.nlplab.org/), Appraise (https://github.com/cfedermann/Appraise), MyMiner, TeamTat, TextAE","brat, Appraise, TeamTat",online available (no need to install),,No,"Prodigy (https://prodi.gy/), LightTag (https://www.lighttag.io/)",,,,"online available, easy teams management",Government,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in",Domain expertise / Trained annotators required,Yes,
Yes,Classification tasks,No,"None, I haven't used any before.",,,,No,"None, I haven't heard any before.",,,,"Quick, easy",Student,Exploring new facet of the data/task,Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Regression/Scoring tasks, Span annotation",Yes,"Brat (https://brat.nlplab.org/), custom software",Custom Software,,,Yes,"Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/)",?,,,"Custom ""widgets"", big high quality annotator community",Independent/Freelancer,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, There's no way to get around this without supervised datasets",Crowdsource is sufficient,Yes,
Yes,"Classification tasks, Parsing annotations / Treebanking tasks",Yes,"Alpaca (https://inklab.usc.edu/AlpacaTag/), WebAnno (https://webanno.github.io/webanno/), CAT","WebAnno, Conllueditor",,,Yes,MTurk (https://www.mturk.com/),,,,"Easy to use, simple interface, high customization, built-in IAA calculation, simple & advanced search in files and annotation",Academia,"There's no data in the domain I'm interested in, Exploring new facet of the data/task",Domain expertise / Trained annotators required,Yes,
Yes,"Span annotation, Entity linking tasks, word level annotation correction/tuning",Yes,TXM https://pages.textometrie.org/textometrie/en,TXM,be able to combine word level annotations with XML (for example TEI based) text encodings,"tools should make it clear if and how they provide character or word level annotations. With XML text encoding, character level annotation GUIs are not efficient. It is a general NLP tools question though: NLP tools usually take only raw .txt or word streams as input, which makes it difficult to inject NLP tools results back into XML encoded texts.",No,,,,,combining XML encoding and word level annotations,Academia,There's no way to get around this without supervised datasets,Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Span annotation",Yes,"Brat (https://brat.nlplab.org/), CAT","1)CAT 
2) Brat","1) flexibility in setting up the task
2) export annotated data in different formats",,No,"Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/)",Appen data annotation,"1) flexibility in setting up the task
2) possibility of setting gold threshold
3) re-use of annotation template","1) large pool of annotators
2) simple export format of the annotations",1) Easy to install; 2) flexibility in the creation of annotation tasks; 3) possibility of annotating discontinuous tags; 4) annotation both token-based and character-based; 4) possibility of annotating data across documents (e.g. cross-document anaphora annotation task); 5) easy to work export format: e.g. stand-off XML; Tab field (or accompanying conversion scripts across formats); ,Academia,"Existing open datasets don't fit my needs, Exploring new facet of the data/task",depends on the task - sometimes only experts; in other cases a mixture of the 2,No,
Yes,"Classification tasks, Regression/Scoring tasks, Span annotation, Evaluating Generation (Seq2Seq) tasks, Entity linking tasks",Yes,"Brat (https://brat.nlplab.org/), Inception (https://github.com/inception-project/inception), WebAnno (https://webanno.github.io/webanno/), MMax2, Callipso, Knowtator",Knowtator,,,Yes,"Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/)",,,,too long to write,Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,No,
Yes,Classification tasks,Yes,Brat (https://brat.nlplab.org/),,,,Yes,"MTurk (https://www.mturk.com/), Upwork.com, Crowdflower/Figure Eight",Don't understand question,Figure Eight,,🤷,Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,No,
Yes,"Classification tasks, Span annotation, Entity linking tasks",Yes,Brat (https://brat.nlplab.org/),"only used brat, and I really did not like it","connecting with external resources, annotating relationships between named-entities",,Yes,"Prodigy (https://prodi.gy/), LightTag (https://www.lighttag.io/)",,Prodigy,Active Learning,"Active Learning, NER, Entity Linking w/ connection to wikidata for instances, relationships between named-entities, events annotation",Industry,There's no data in the domain I'm interested in,Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Span annotation, Entity linking tasks",Yes,"WebAnno (https://webanno.github.io/webanno/), CAT (not open source); MMAX2 (not open source)",,"ease to create relations, easily exportable/usable annotation format",,No,"MTurk (https://www.mturk.com/), Samasource (https://www.samasource.com/), Fiverr.com",,,,trustworthy tokenisation and ability to deal with different character encodings so you can upload raw texts straight forward. ease to create the annotation projects (the less clicks the better). ease to edit annotations while annotating manually. ease to create relations among tags.,Academia,There's no data in the domain I'm interested in,Domain expertise / Trained annotators required,Yes,
Yes,Parsing annotations / Treebanking tasks,Yes,"WebAnno (https://webanno.github.io/webanno/), Callisto, Praat","WebAnno, Callisto, Praat","sharing projects, drawing dependencies by hand, having a tagset to choose from",Controlling the annotations with a defined tagset is important and having a shared repository is too.,No,"None, I haven't heard any before.",,,,"It has a shared repository, possibly with version management, fixed tagsets and a possibility to give the annotators some test sentences to evaluate the quality of their annotation. If it does not follow the guidelines, their annotations should be labeled as uncertain. A clear display with the progression of the annotation for each set would be good. The annotators need to have a possibility to add comments on their annotation, with labels to make their point easier to retrieve. To help the colourblinds work, several colour palets should be made available (if any, but it is useful to distinguish text and dependencies).",Student,Exploring new facet of the data/task,Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Regression/Scoring tasks, Span annotation, Evaluating Generation (Seq2Seq) tasks",Yes,Brat (https://brat.nlplab.org/),Brat,"easy to set up, and export output",,Yes,"Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/)",MTurk,MTurk,"easy and fast to get a massive amount of labels, allow for custom interface, easy to import/export data","easy to set up, and input/output data",Academia,There's no data in the domain I'm interested in,Domain expertise / Trained annotators required,No,
Yes,"Classification tasks, Parsing annotations / Treebanking tasks",Yes,"Brat (https://brat.nlplab.org/), WebAnno (https://webanno.github.io/webanno/)",WebAnno,The feature of being able to monitor our student annotators easily and calculate the interannotator agreement on the fly. Also the curation feature where you see the different annotations and choose the right one is very useful.,,No,Fiverr.com,,,,WebAnno served our purpose well but had some problems with export/import and the design behind was not popular with our developers. Maybe INCEpTION is the answer but I have not had the possibility to try it out.,Academia,"There's no data in the domain I'm interested in, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,We had a some trusted annotators for the last project. We would have to train a new team when we need it next time,
Yes,"Span annotation, Entity linking tasks",Yes,"Brat (https://brat.nlplab.org/), WebAnno (https://webanno.github.io/webanno/)",The 4A Annotation Tool,Disambiguation context and visual clues for entitiy disambiguation,,No,,,,,-,Academia,"Existing open datasets don't fit my needs, Exploring new facet of the data/task",Crowdsource is sufficient,No,
Yes,"Classification tasks, Entity linking tasks, Parsing annotations / Treebanking tasks",Yes,WebAnno (https://webanno.github.io/webanno/),WebAnno,web application; possibility of making coreference chains; easy graphical-based way of working,,No,,,,,possibility to accomodate many people to work; input and output of many formats; easy adaptation/upload of annotation schemes on different levels; good communication among annotation levels; being fast,Academia,There's no data in the domain I'm interested in,Domain expertise / Trained annotators required,Yes,We work with INCEpTION at the moment. Close to the dream platform but still no perfect ways to combine annotation and linking.
Yes,"Classification tasks, Entity linking tasks, Parsing annotations / Treebanking tasks",Yes,"Inception (https://github.com/inception-project/inception), WebAnno (https://webanno.github.io/webanno/)",WebAnno,Multilayer annotation,WebAnno was running slow with long texts.,Yes,LightTag (https://www.lighttag.io/),,,,"Multiayer annotation available, fast even with very long texts.",Academia,"Existing open datasets don't fit my needs, Exploring new facet of the data/task",Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Span annotation, Entity linking tasks, Parsing annotations / Treebanking tasks",Yes,"Brat (https://brat.nlplab.org/), Eva (https://github.com/Ericsson/eva)",Brat,Flexibility in terms of entities to annotate,,No,,,,,Great UI and multi modal,Student,"There's no data in the domain I'm interested in, Exploring new facet of the data/task",Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Bound box tasks, Span annotation, Audio annotation tasks, Entity linking tasks",Yes,"MMAX2, Praat, ELAN","Praat, ELAN, MMAX2",stand-off annotation on several layers to allow for overlapping spans,,No,"Prodigy (https://prodi.gy/), MTurk (https://www.mturk.com/)",MTurk,MTurk,,Can handle dialogue (time-based data on several layers),Academia,"Existing open datasets don't fit my needs, Exploring new facet of the data/task",Domain expertise / Trained annotators required,Yes,
Yes,Parsing annotations / Treebanking tasks,Yes,UD Annotatrix https://jonorthwash.github.io/ud-annotatrix/,Annotatrix,Being able to modify the tokenisation and original input,,No,"None, I haven't heard any before.",,,,"offline, free/open-source, tightly coupled with the tools, data and formats that i'm annotating ",Academia,"Existing open datasets don't fit my needs, I work with annotation of marginalised and indigenous languages, for most of the languages I'm creating the first annotated data.",Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Span annotation",Yes,"Brat (https://brat.nlplab.org/), own tools for the specific task","The only open source tool I used is Brat and it is a pain to parse afterwords, I would definitely avoid it","Easy deploy, multiple annotation options",,No,,,,,"Easy to use, intuitive, customisable (lets you define tags, set boundaries like not allowing the selection of trailing spaces in spans, whether to allow or not overlapping tags, etc), can output the annotated data in json format, errors are easy to correct, hopefully integrates the possibility of using active learning to preannotate data",Researcher in a fundation dedicated to a combination of academia + industry,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, There's no way to get around this without supervised datasets","depends on the task, but mostly with domain expertise, crwodsource usually won't do",mostly it is us the researchers who end up annotating as well as exploiting the data,
Yes,Parsing annotations / Treebanking tasks,Yes,Sanchay Tool,None,None,It is good to make the created resources as open source.,No,"Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, Upwork.com",Upwork,4,3,Text Analysis Platform. From Phonetic to Discourse analysis information ,Academia,There's no way to get around this without supervised datasets,Domain expertise / Trained annotators required,Yes,Make the platforms as open source
Yes,"Classification tasks, Span annotation, Entity linking tasks, Parsing annotations / Treebanking tasks",Yes,"Brat (https://brat.nlplab.org/), Folia (http://proycon.github.io/folia/), WebAnno (https://webanno.github.io/webanno/), Gate",WebAnno,"Open for new Annotation Schemas, Inter-Annotation Agreement module incorporated",,No,"LightTag (https://www.lighttag.io/), MTurk (https://www.mturk.com/)",None,,,"Open source, xml-compliant, allow for various annotation types,  functionalities like: various levels of users (annotator manager, annotator, system manager, etc.), functionality for annotation guidelines that can be easily updated by manager and accessed by annotators, allow for multiple annotators on a project, inter-annotator agreement module (with various metrics to choose), ",Academia,"Existing open datasets don't fit my needs, Exploring new facet of the data/task",Domain expertise / Trained annotators required,Yes,Yes
Yes,"Classification tasks, Regression/Scoring tasks, Span annotation",Yes,"Brat (https://brat.nlplab.org/), Amazon Mechanical Turk","For open source, I’ve only used one",Being able to mark overlapping spans,,Yes,"Prodigy (https://prodi.gy/), MTurk (https://www.mturk.com/), Upwork.com",AMT,I’ve only used one ,The workers themselves ,Ensures workers are paid fairly,Student,Existing open datasets don't fit my needs,Crowdsource is sufficient,Yes,
Yes,"Classification tasks, Audio annotation tasks, Video captioning tasks, Creating Translation/Generation data, Emotion, Sentiment, Stance annotation...",No,"None, I haven't used any before., Google Sheets",,Be able to annotate plain simple text files as folder or individual files,,No,"Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/)",MTruk,,Acess to annotators from all over the world,"Portable, easy to handle, web base and desktop application and able to handle various text types and can export the annotation in simple easy to read format not requiring any scripting or programming knowledge to manipulate and analyze the data annotated",Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task",Crowdsource is sufficient,Yes,Not suitable for most annotation tasks
Yes,"Classification tasks, Regression/Scoring tasks, Span annotation",Yes,"Brat (https://brat.nlplab.org/), WebAnno (https://webanno.github.io/webanno/)",Brat,Dictionary loading,,Yes,,,,,"Would have ability to have multiple different types of annotations for both NLP entity - codification, and ML types ",Industry,"Existing open datasets don't fit my needs, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,Yes,
Yes,"Span annotation, Evaluating Generation (Seq2Seq) tasks",No,Appraise (https://github.com/cfedermann/Appraise),,,,No,"None, I haven't heard any before.",,,,"marking affected words (for example, erroneous words in a translation output), adding comments about the reasons/causes of marking (for example wrong inflection, ambiguous word, etc.)",Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task","something in between works well, such as researchers, CL students, etc","I have some, but not really a ""pool""",
Yes,"Classification tasks, Span annotation, Entity linking tasks",Yes,"Doccano (https://github.com/doccano/doccano), Prodigy [not open source] (https://github.com/explosion/prodigy-recipes), Own custom coded one for specific task (audio quality classification)",Doccano,"Ability to deploy with docker images, set format of output data.","Biggest pain points were installing and running the live version - it may work locally on a laptop but sunning it on a server for others always brings problems, making sure the interface was usable by multiple people simultaneously without falling over, network and firewall settings to allow access etc.",Yes,"Prodigy (https://prodi.gy/), Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/), Upwork.com, Fiverr.com",Prodigy,Prodigy,"Support on forums, great documentation and example code from maintainers",Like prodigy but free? One that integrates easily with existing data and is easy to deploy and configure. Ability to support multiple interfaces too - like annotating on mobile. ,Startup,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task",Domain expertise / Trained annotators required,Yes,
Yes,"Creating Translation/Generation data, Parsing annotations / Treebanking tasks",Yes,"Inception (https://github.com/inception-project/inception), WebAnno (https://webanno.github.io/webanno/)",,,,No,,,,,Inception with XML editor,Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task",Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Span annotation, Parsing annotations / Treebanking tasks",Yes,Arethusa (https://www.perseids.org/tools/arethusa/app/#/),Arethusa,"visualization/highlighting, drag & drop interaction, automatic suggestions",,No,Prodigy (https://prodi.gy/),,,,"intuitive, assistive, consultative/making suggestions, manageable/understandable...",Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,No,
Yes,"Span annotation, Creating Translation/Generation data",Yes,"Brat (https://brat.nlplab.org/), Appraise (https://github.com/cfedermann/Appraise)","Brat, TextAE",Being able to drag and drop annotations,,No,"MTurk (https://www.mturk.com/), Fiverr.com",,,,A flexible Open Source platform that allows both on-premises and online hosted applications,Academia,"Existing open datasets don't fit my needs, Exploring new facet of the data/task",Crowdsource is sufficient,Yes,
Yes,"Classification tasks, Span annotation, Entity linking tasks, NER annotation",Yes,"Brat (https://brat.nlplab.org/), Doccano (https://github.com/doccano/doccano)",Doccano,Active learning,,Yes,"Prodigy (https://prodi.gy/), Label Studio",Prodigy,Prodigy,I haven't used the rest.,Label Studio,Industry,"Existing open datasets don't fit my needs, There's no way to get around this without supervised datasets, Security/privacy reason",Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Regression/Scoring tasks, Span annotation, Entity linking tasks, Writing paraphrases or participating in dialogue",Yes,Slate (https://github.com/jkkummerfeld/slate),Slate,"(1) Simple human-readable non-DRM data formats, (2) Easy installation, (3) The ability to modify the tool for project-specific features.",,Yes,"Prodigy (https://prodi.gy/), LightTag (https://www.lighttag.io/), Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/), Scale (https://scale.com/), Upwork.com, Fiverr.com",MTurk,,Access to a large pool of workers,"(1) Easy to install, (2) Options for both a web interface and an offline interface, (3) Standard data formats and the option to export to flat-text files that can be manipulated with command line utilities, (4) Customisable, (5) Integrates with git or another version control tool for data storage and sharing.",Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task, Developing new annotation methods","Sometimes one and sometimes the other, depending on the project",Kind of - I train university students as needed for projects.,
Yes,"Classification tasks, Span annotation, Creating Translation/Generation data",Yes,"Brat (https://brat.nlplab.org/), GATE",None yet,"Must be simple to set up, have a clean interface, and have a helpful output format",,Yes,"Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/)",,,"Diverse crowd, built in quality control","simple, fast, lots of demo templates, easy data collection and qa",Academia,"There's no data in the domain I'm interested in, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,No,
