Do you need manual annotations for your NLP projects? ,What NLP tasks do you need annotation for? ,Have you used open source annotation platforms before? ,Which of these tools have you used before?,"If you've used open source annotation tool(s) before, which annotation tool(s) do you like best? List 1-3.",Which feature(s) do you find most useful from your previous experience with open source annotation platforms? List 1-3.,Any other feedback on Open Source NLP/CV annotation tools?,Have you used commercial annotation platforms before?,Which of these tools/platforms have you heard of before ?,Which of the commercial tools listed above have you used before?,"If you've used any of the above platforms/tool(s) before, which tool(s) do you like best? List 1-3.",Which feature(s) do you find most useful from your previous experience with commercial platforms? List 1-3.,Tell us what's your dream annotation platform!!,Are you student? Do you work in academia / industry? Or are you an independent/freelancer?,Why do you need annotations for your task/data? ,Would the annotations you need require domain expertise or can it be handled by crowdsource workers with some minimum requirements?,Do you have a pool of trusted/expert annotators that can work on your annotation task(s)? ,Do you have any feedback on NLP annotation platforms?
Yes,"Classification tasks, Audio annotation tasks",Yes,"None, I haven't used any before.","VoTT, UAM Corpus Tool, ","Access of coding scheme, calculations of inter coder reliability ",,Yes,"None, I haven't heard any before.",NVivo,,,"Easy to choose labels, availability of annotation guides and examples, calculations of intercoder reliability ",Academia,There's no way to get around this without supervised datasets,Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Span annotation, Audio annotation tasks, Parsing annotations / Treebanking tasks",Yes,"WebAnno (https://webanno.github.io/webanno/), EXMARaLDA, Praat, ELAN, CorpusDraw, WebLicht",,,,No,MTurk (https://www.mturk.com/),,,,"A sustainable open source tool that is developed by an open community and extensible. It should rely on well-established open formats as well and at best supports multiple formats. And of course Unicode-based and available for Linux, Mac, and Windows. Its use must be intuitive to encourage the user community to grow fast. Furthermore allowing to flexibly plug-in automatic tools to pre-annotate my data'd be great, also allowing the model to directly improve from my corrections",Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Span annotation, Entity linking tasks",Yes,"Brat (https://brat.nlplab.org/), GATE, TextAE","GATE, TextAE, Brat",annotation visualization,,No,,,,,improved TextAE,Academia,"There's no data in the domain I'm interested in, Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Span annotation, Evaluating Generation (Seq2Seq) tasks, Entity linking tasks, Parsing annotations / Treebanking tasks",Yes,"Brat (https://brat.nlplab.org/), Folia (http://proycon.github.io/folia/)","Prodigy, snorkel ",Annotations ,No,Yes,"Prodigy (https://prodi.gy/), MTurk (https://www.mturk.com/), Upwork.com, Fiverr.com","M Turk, Prodigy",M Turk,Annotations ,"Easy interface, flexibility to work for different annotation tasks",Industry,"Existing open datasets don't fit my needs, Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,Yes,No
Yes,Parsing annotations / Treebanking tasks,Yes,"Brat (https://brat.nlplab.org/), WebAnno (https://webanno.github.io/webanno/), Synpathy, Annotate",None are good for everything,"Allowing for different types of annotation, easy choosing your own tagset/annotation format",,No,"None, I haven't heard any before.",,,,"Adaptable for annotation type/format, easy input/output conversion, fast even with larger datasets, search for both words and annotations",Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,No,
Yes,"Classification tasks, Regression/Scoring tasks, Span annotation, Entity linking tasks, Parsing annotations / Treebanking tasks",Yes,WebAnno (https://webanno.github.io/webanno/),Inception ,"multiplication of example annotations, visualization , constraints ","In process of annotation, the annotator needs a support for rules writing to facilitate the annotation.",No,Prodigy (https://prodi.gy/),no one,I did not,no,"1. Dynamic structure of the annotation - easy extension of the annotation, the tagsets, etc.
2. Access to other resources via context dependant rules - access to different lexicons, another  annotated corpora, etc.
3. Rules for extension of the annotation and for validation checking
4. Different visualizations
5. Context dependant help for the annotations",Academia,"There's no data in the domain I'm interested in, Available data is not enough in terms of annotated phenomena and size",Domain expertise / Trained annotators required,Yes,"It needs to support the creativity of the annotator or the annotation teams (with different roles of the members). Very often in the process of annotation it is necessary to update other resources. For example, if the task is annotation with word senses, then the addition of new senses will e necessary. It will be nice to have the possibility to switch to the other resources and to update it. To support the changes in the annotation schema and reclassification of the annotation that are already done. "
Yes,"Classification tasks, Span annotation, Creating Translation/Generation data, Entity linking tasks, Parsing annotations / Treebanking tasks",Yes,Folia (http://proycon.github.io/folia/),Folia,the possibility to keep previous annotations and to annotate also discontinuous elements,,No,"Prodigy (https://prodi.gy/), MTurk (https://www.mturk.com/), Gengo AI Workbench (https://support.gengo.com/hc/en-us/articles/360019035694-The-AI-Workbench)",none,,,An annotation tool for bitext or parallel texts ,Academia,"Existing open datasets don't fit my needs, Exploring new facet of the data/task",Domain expertise / Trained annotators required,Yes,
Yes,"Span annotation, Entity linking tasks",Yes,"Brat (https://brat.nlplab.org/), Knowtator",Havent tried anything else,Good UI,Nothing has an active community to maintain,Yes,"Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/)",Figure8 and MTurk,MTurk,Easy management of jobs,A maintained platform with an active community to support. New feature requests easily added,Industry,"Existing open datasets don't fit my needs, I work on biomedical data",Domain expertise / Trained annotators required,Yes,Great initiative.
Yes,"Classification tasks, Span annotation, Entity linking tasks, Parsing annotations / Treebanking tasks",Yes,"Brat (https://brat.nlplab.org/), MAE (Multi-purpose Annotation Environment) by Amber Stubbs",MAE,custom labels,nice to have inter annotation agreement evaluation functionality,Yes,"Prodigy (https://prodi.gy/), MTurk (https://www.mturk.com/), Watson Knowledge Studio","MTurk, Watson Knowledge Studio",Watson Knowledge Studio,"end-to-end functionality (type system creation, ground truth creation, inter annotation agreement evaluation, model building, evaluation)",Watson Knowledge Studio is already my dream platform.,Industry,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task",Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Parsing annotations / Treebanking tasks",No,"None, I haven't used any before.",,,,No,"Upwork.com, Fiverr.com",Fiverr.com,,,i don't know any,Independent/Freelancer,"There's no data in the domain I'm interested in, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,No,
Yes,Classification tasks,Yes,"Alpaca (https://inklab.usc.edu/AlpacaTag/), Eva (https://github.com/Ericsson/eva), Annotation Studio (https://github.com/hyperstudio/Annotation-Studio)",Eva,Lol,Nope,Yes,Prodigy (https://prodi.gy/),Prodigy,Lol,Lol,Lol,Industry,Existing open datasets don't fit my needs,Domain expertise / Trained annotators required,No,Nope
Yes,"Classification tasks, Span annotation, Creating Translation/Generation data, Entity linking tasks",Yes,"Brat (https://brat.nlplab.org/), WebAnno (https://webanno.github.io/webanno/)",Brat,"quick annotation, web access",,No,,,,,"brat, with collaborative annotation and long chunk management (sentence-size)",Industry,"Existing open datasets don't fit my needs, There's no way to get around this without supervised datasets",Crowdsource is sufficient,No,
Yes,"Classification tasks, Span annotation, Evaluating Generation (Seq2Seq) tasks, Creating Translation/Generation data",Yes,Brat (https://brat.nlplab.org/),,flexibility; span annotation,,Yes,"Prodigy (https://prodi.gy/), Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/), Alegion (https://www.alegion.com/platform)",prodify.ai; mturk,,active learning; focus on one annotation at time; csv export ,plug & play existing models; possibility of annotations without lexical grounding,Industry,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in",Crowdsource is sufficient,No,
Maybe,"Audio annotation tasks, Creating Translation/Generation data, Parsing annotations / Treebanking tasks",No,"None, I haven't used any before.",,,,No,"None, I haven't heard any before.",,,,Unknown,Independent/Freelancer,Exploring new facet of the data/task,Domain expertise / Trained annotators required,No,
Yes,"Classification tasks, Regression/Scoring tasks, Parsing annotations / Treebanking tasks",Yes,"Brat (https://brat.nlplab.org/), WebAnno (https://webanno.github.io/webanno/), MMAX, RSTTool, Annotate, ELAN, Exmaralda, TreeAligner, Excel [sic!]",task-specific,"interoperability (for annotations that require the combined application of different tools), keyboard-only annotation (no mouse!), controlled annotation vocabularies (limited freetext entries)","semiautomatic preannotation is yet another criterion, but not for annotation per se; requires interoperability with NLP tools",No,"Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/)",,,,"INTEROPERABILTIY, transformability, compliance to web standards, a uniform interchange format for NLP tools and annotation tools, easy combination of conflicting annotations (even if the tools skrewed up tokenization or replaced special characters)",Academia,"Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,Yes,There's no universal tool and there will never be. So we need to find ways to combine the output of different tools.
Yes,"Classification tasks, Span annotation, Entity linking tasks",Yes,Brat (https://brat.nlplab.org/),,,,Yes,"Prodigy (https://prodi.gy/), LightTag (https://www.lighttag.io/), MTurk (https://www.mturk.com/), Scale (https://scale.com/), Upwork.com, Fiverr.com, Own custom google-doc workflow",All above,Own workflow; the rest were all rubbish.,Ability to define complex NLP annotation tasks; ability to instruct and guide annotators; flexibility to automate evaluation.,Powerful for real-world NLP like our custom; slick UI & marketing like Prodigy; cheap and strong community like open source.,Industry,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task, There's no way to get around this without supervised datasets, Academic datasets and pre-trained models are unusable on real data",Domain expertise / Trained annotators required,Yes,"Haven't checked lately but 1-2 years ago, they were all sad. Some have good marketing, but all were very naive and difficult to apply outside of trivial tasks and oh-wow shallow tutorials."
Yes,"Classification tasks, Span annotation, Evaluating Generation (Seq2Seq) tasks, Entity linking tasks, Parsing annotations / Treebanking tasks",Yes,Brat (https://brat.nlplab.org/),Brat,Easy to use for multiple tasks,,Yes,Prodigy (https://prodi.gy/),Prodigy,Prodigy,Super useful,Uses active learning for all possible NLp takes for efficient annotations,Industry,"Existing open datasets don't fit my needs, Exploring new facet of the data/task",Domain expertise / Trained annotators required,No,
Yes,"Classification tasks, Span annotation, Evaluating Generation (Seq2Seq) tasks, Audio annotation tasks, Creating Translation/Generation data, Parsing annotations / Treebanking tasks",Yes,"Brat (https://brat.nlplab.org/), Praat (https://www.fon.hum.uva.nl/praat/)","Brat, Praat",Click and drag annotation; Waveform annotation,"They only work on niche tasks. Most real world tasks need annotations that span several of these tools, but a single tool is insufficient.",No,"Prodigy (https://prodi.gy/), Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/), Upwork.com, Fiverr.com",,,,"A platform that allows audio transcription of full dialogs with entity annotation and (inverse) 
 text normalization for entity values. Annotation of dialog turns, similar to dialogue act annotation. Entity co-reference resolution.",Industry,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Could be crowdsourced but the data is sensitive.,Yes,"Most platforms work well for an individual task, but there's an enormous amount of effort needed to add new features or repurpose an existing tool to a more complicated NLP task. Especially if the NLP task requires a speech input, most tools become unusable. Also, each platform has a different output format. If you want to use two different tools, you need to write middleware to transform the data formats into a compatible form -- usually a proprietary format."
Yes,"Classification tasks, Span annotation",Yes,Brat (https://brat.nlplab.org/),Brat,Using automatic annotation tools,Automatic recommendation from existing annotations,No,"None, I haven't heard any before.",None,No,No,Annotate with existing tools and then modify manually. Platform could suggest modifications from previous manual modifications,Industry,Existing open datasets don't fit my needs,Domain expertise / Trained annotators required,No,
Yes,"Classification tasks, Regression/Scoring tasks, Span annotation, Creating Translation/Generation data, Entity linking tasks",Yes,Appraise (https://github.com/cfedermann/Appraise),Appraise,"Fast UI
Single Sign-On (SSO) support
Python-based",,Yes,MTurk (https://www.mturk.com/),Mturk,,,Appraise v4 (2020),Industry,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task",Crowdsource is sufficient,Yes,
Yes,"Creating Translation/Generation data, Entity linking tasks, Parsing annotations / Treebanking tasks",No,"None, I haven't used any before.",,,,Yes,MTurk (https://www.mturk.com/),,,,"The platform should learn and suggest annotation, the user should just check and correct it, and should have option to skip cases, where (s)he is not sure.",Industry,There's no data in the domain I'm interested in,Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Span annotation, Evaluating Generation (Seq2Seq) tasks, Creating Translation/Generation data, Entity linking tasks",Yes,"Brat (https://brat.nlplab.org/), Prodigy",,,,Yes,"Prodigy (https://prodi.gy/), MTurk (https://www.mturk.com/)",,,,Built in active learning to get the best annotations quickest,Industry,There's no data in the domain I'm interested in,Crowdsource is sufficient,No,
Yes,"Classification tasks, Span annotation, Creating Translation/Generation data, Entity linking tasks",Yes,"Brat (https://brat.nlplab.org/), Appraise (https://github.com/cfedermann/Appraise), Knowtator, PubTator","Brat, Appraise",1/ ability to use pre-annotations prepared outside of tool 2/ ease of designing annotation scheme 3/ ease of exporting annotation results to standard format,,No,"Prodigy (https://prodi.gy/), MTurk (https://www.mturk.com/), Microworkers.com",,,,Honestly BRAT is pretty good. It would be nice to combine the ability to also do document level annotations. ,Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in",Domain expertise / Trained annotators required,sometimes,"One important criteria is ease of installing and using. I think WebAnno would meet many of my needs, but I haven't used it yet because it seems very complex to get into. "
Yes,"Classification tasks, Evaluating Generation (Seq2Seq) tasks, Audio annotation tasks",Yes,Brat (https://brat.nlplab.org/),,,,No,"Prodigy (https://prodi.gy/), MTurk (https://www.mturk.com/)",,,,None,Academia,There's no way to get around this without supervised datasets,Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Regression/Scoring tasks, Span annotation, Entity linking tasks, Parsing annotations / Treebanking tasks",Yes,"Doccano (https://github.com/doccano/doccano), WebAnno (https://webanno.github.io/webanno/), Catma","Webanno, catma",Multiple annotation schemes for the same data. Visualisation of annotations.,,No,"Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/)",,,,"Annotations can be done on different levels, use of multiple annotation schemes, several annotators being able to use the tool at the same time, automatic kappa computation",Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Half and half. At least some training experience.,Yes,
Yes,Span annotation,Yes,Brat (https://brat.nlplab.org/),,,,Yes,Prodigy (https://prodi.gy/),,,,"Intuitive, powerfull, scriptable",Industry,Existing open datasets don't fit my needs,Domain expertise / Trained annotators required,Yes,
Maybe,Classification tasks,Yes,Brat (https://brat.nlplab.org/),,"Scalability, multi-annotator agreement",,Yes,"Prodigy (https://prodi.gy/), MTurk (https://www.mturk.com/)",MTurk,MTurk was ok as it gave us access to SMEs.,"Easy to use, can test them on a small project upfront","Easy to use, with annotation stats, annotations to be exported in a variety of formats, stable",Industry,"Existing open datasets don't fit my needs, Exploring new facet of the data/task",Domain expertise / Trained annotators required,No,
Yes,"Classification tasks, Evaluating Generation (Seq2Seq) tasks",No,"None, I haven't used any before.",,,,Yes,MTurk (https://www.mturk.com/),Amazon mechanical turk,Amazon mechanical turk,Amazon mechanical turk,"A place where I can create simple scenarios that apply to all the data, for example if we need to annotate a classification task I want to show the classes that are relevant for every text with a tooltip automatically just by plugin in the data into the tool and selecting the target UI preference for the commodity of the annotator.",Industry + Student,Exploring new facet of the data/task,Crowdsource is sufficient,I don't really know,
Yes,"Audio annotation tasks, Video captioning tasks",Yes,https://github.com/dynilib/dynitag,,"for audio, multi-region (and overlapping regions) support",,Yes,Gengo AI Workbench (https://support.gengo.com/hc/en-us/articles/360019035694-The-AI-Workbench),Modified version of Gengo workbench for speech annotation,,Flexibility due to syntax-based annotation (but not user/non-technical annotator friendly),"Multiple mark-up support (JSON, protobuf, XML, etc), but at the same time, can be fully GUI-based.  In short, targets a wide range of annotators (from non-technical to technical).",Industry,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Depends.  In the past (circa 2005) we even had spectrogram experts read spectrograms without audio.,"Can't say trusted/expert, but we have annotators",
Yes,Creating Translation/Generation data,No,"None, I haven't used any before.",,,,Yes,"MTurk (https://www.mturk.com/), Upwork.com, Fiverr.com","Upwork, MTurk",MTurk,creating annotation jobs,have similar interface as mturk to create jobs. ,Industry,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task",Domain expertise / Trained annotators required,No,
Maybe,multi choice question answering,Yes,"Brat (https://brat.nlplab.org/), Doccano (https://github.com/doccano/doccano)",,less efforts for annotator,,No,"Prodigy (https://prodi.gy/), Upwork.com",,,,"Annotation should feel effortless, descriptions might be helpful for annotators. We can create it like a game to make it more fun. ",Industry,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Regression/Scoring tasks, Entity linking tasks",No,"None, I haven't used any before.",,,,No,Prodigy (https://prodi.gy/),,,,easy to define what to annotated,Industry,There's no data in the domain I'm interested in,Crowdsource is sufficient,No,
Yes,"Classification tasks, item/product relevancy against search queries",No,"None, I haven't used any before.",,,,No,"None, I haven't heard any before.",,,,Unfortunately I've very less experience on using an annotation platform.,Industry,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in",Domain expertise / Trained annotators required,No,
Yes,"Bound box tasks, Video captioning tasks, Parsing annotations / Treebanking tasks, Semantic Role Labeling",Yes,WebAnno (https://webanno.github.io/webanno/),,,https://github.com/FrameNetBrasil/webtool,No,"None, I haven't heard any before.",,,,"Multimodal, multilingual, fast and light...",Academia,We build datasets in my lab,Domain expertise / Trained annotators required,Yes,
Yes,"Classification tasks, Open Information Extraction",No,Brat (https://brat.nlplab.org/),None,"Related to the task , easy to  include, known exportation format.",,No,"None, I haven't heard any before.",,,,Fitted to Open Information Extraction. ,Academia,"Existing open datasets don't fit my needs, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,Yes,
Yes,Classification tasks,Yes,WebAnno (https://webanno.github.io/webanno/),,,,No,MTurk (https://www.mturk.com/),,,,ok,Industry,Existing open datasets don't fit my needs,Crowdsource is sufficient,No,
Yes,"Classification tasks, Span annotation, Creating Translation/Generation data",No,"None, I haven't used any before.",,,,No,"None, I haven't heard any before.",,,,Should have cross validation function to avoid mistakes.,Industry,There's no way to get around this without supervised datasets,Crowdsource is sufficient,No,
Yes,Span annotation,Yes,YEDDA (https://github.com/jiesutd/YEDDA),YEDDA (https://github.com/jiesutd/YEDDA),"shortcut annotation, suggestion, annotation quality analysis",,No,"None, I haven't heard any before.",,,,Python without any pre-installed package.,Academia,Existing open datasets don't fit my needs,Domain expertise / Trained annotators required,No,
Yes,"Classification tasks, Audio annotation tasks",No,"None, I haven't used any before.",,,,No,"None, I haven't heard any before.",,,,Supporting multiple tasks in multiple languages in at one place where anyone can contribute.,Industry,There's no data in the domain I'm interested in,Crowdsource is sufficient,No,
Maybe,Classification tasks,No,"None, I haven't used any before.",,,,No,"None, I haven't heard any before.",,,,x,x,x,Crowdsource is sufficient,No,
Yes,"Classification tasks, Span annotation, Evaluating Generation (Seq2Seq) tasks, Creating Translation/Generation data, Parsing annotations / Treebanking tasks",Yes,"Brat (https://brat.nlplab.org/), Doccano (https://github.com/doccano/doccano), Inception (https://github.com/inception-project/inception), MAT (MITRE Annotation Toolkit)",Doccano,Approachable UX,,Yes,"Prodigy (https://prodi.gy/), MTurk (https://www.mturk.com/), Fiverr.com",Prodigy,Prodigy,Tight integration with spaCy,Task agnostic (task as config?). Tight integration loop with active learning and bootstrapping.,Industry,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Domain expertise / Trained annotators required,Yes,
Yes,"Span annotation, Evaluating Generation (Seq2Seq) tasks, Creating Translation/Generation data, Parsing annotations / Treebanking tasks",No,"None, I haven't used any before.",,,I want an easy way to associate different portions of tree-structured semantics to different portions of text. Ideally allowing up to many-to-many mappings (so discontiguous portions of trees can map to discontiguous portions of text).,Yes,"Prodigy (https://prodi.gy/), Appen Data Annotation (https://appen.com/solutions/platform-overview/Formerly Figure8, former-formerly Crowdflower),, MTurk (https://www.mturk.com/), Upwork.com, Fiverr.com, Prolific Academic","MTurk, Prolific Academic",,Recruiting and screening participants in human annotation tasks and evaluations.,"Ease of multi-level annotations, even if they don't all align nicely into a hierarchy. Being able to start with e.g. entity-linking or basic SRL and build up to a richer semantic representation including perhaps discourse or pragmatic annotations. Playing nice with audio or video data would be a bonus as well. And working nicely for dialogue would be cool, too",Academia,"Existing open datasets don't fit my needs, There's no data in the domain I'm interested in, Exploring new facet of the data/task, There's no way to get around this without supervised datasets",Crowdsource is sufficient,No,